SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
172.18.0.5,172.18.0.2,56376,443,2025-08-14 12:00:59,20.01081371307373,6638,331.7206434070781,27905,1394.4960160100204,1089734.45213629,1043.9034687825738,803.3255813953489,364.0,66,1.262546570252424,0.7063158648713337,1.2994774384868328,54.21624998904491,7.363168474851361,6.69679352294567,4.387162685394287,0.0,0.9410205044634704,0.9094988856792194,1.099506569766926,0.00011429936218121384,0.010691087979303782,0.005672335624694824,0.003258228302001953,4.00543212890625e-05,0.677416740195065,0.5268202183266051,1.8847770454131,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:01:19,23.36556625366211,24363,1042.688190626733,3953,169.1805778248769,1390658.6364883403,1179.2619032633677,1048.7407407407406,374.0,66,1.7165162519204582,0.8333524029066023,1.1244551274230445,44.393504107826885,6.662845046061546,11.829064899020725,13.917264938354492,0.0,-0.9402289974767386,1.775377457714249,0.563260503086185,9.466885437435804e-11,9.729792103347226e-06,4.8425462510850695e-05,4.935264587402344e-05,3.7670135498046875e-05,-0.2858797043115981,1.1054015233381802,0.20092305987097328,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:01:43,22.141233205795288,24363,1100.3452144491746,3972,179.39380174002056,1389700.691358025,1178.855670282849,1049.4444444444443,374.0,66,1.7188985763177815,0.8342365136255242,1.12331403203236,49.96707393848157,7.068739204305218,7.320265399085151,4.569530487060547,0.0,1.167422435255187,1.035582893569866,0.9656397437705787,1.4800763084268612e-10,1.21658386822564e-05,4.680951436360677e-05,4.267692565917969e-05,3.266334533691406e-05,1.0190638259377152,1.1627779552366233,0.2599009805518306,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:02:05,21.447922468185425,21656,1009.7015238712852,3515,163.8853369231422,1390585.3315972222,1179.230822017989,1048.7916666666667,374.0,66,1.7166910516600442,0.8334175534734066,1.1243708922343862,30.876142286404633,5.556630479562648,7.544050584236781,7.237628102302551,0.0,0.16543613061616494,1.3576664152824067,0.7365579561692194,7.278710967284496e-11,8.531536184817185e-06,4.7832727432250977e-05,4.875659942626953e-05,3.1948089599609375e-05,-0.32486716600792975,1.8618731127121135,0.1783619007906465,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:02:26,20.85797095298767,10828,519.1300737931563,1752,83.99666506147116,1391214.888888889,1179.4977273775855,1048.3333333333333,372.0,66,1.7202237468580286,0.8328403781814704,1.1251170690406223,35.434426846465016,5.952682323664267,9.577155033747355,12.180663824081421,0.0,-1.3121019981113837,1.608880587441123,0.6215501683630048,2.92072144247868e-10,1.7090118321646223e-05,5.072355270385742e-05,4.482269287109375e-05,3.409385681152344e-05,1.0358371525063728,0.9730591432635624,0.3369266821948486,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:02:47,20.46430230140686,24363,1190.5121240475967,3958,193.40996539754494,1390409.6241426612,1179.1563187901174,1048.9259259259259,379.0,66,1.7044201398504364,0.8335840721563234,1.1241559481421268,23.402422484791376,4.837605036047422,9.233540093457258,8.283324956893921,0.0,0.5892679101432261,1.908700694797016,0.5239166112979,1.2576009917941038e-10,1.1214281037115593e-05,4.4875674777560765e-05,4.172325134277344e-05,2.5510787963867188e-05,0.8433238183581738,1.7268059137810219,0.24989665543086345,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:03:08,20.311168670654297,13535,666.382137801625,2202,108.41325950788166,1390124.1155555553,1179.0352478003172,1049.1333333333334,374.0,66,1.7178451651710285,0.8338455827911245,1.1238183082547344,39.52800115723941,6.287129802798683,7.2091596285502115,2.5688469409942627,0.0,2.2141960639131413,1.1466535374124283,0.8721030087751085,2.720071279327385e-10,1.6492638598257662e-05,4.76837158203125e-05,4.57763671875e-05,3.218650817871094e-05,0.3469454486829049,0.9396439235162007,0.3458757002161325,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:03:28,23.077470779418945,27070,1173.0054934850873,4419,191.48545532732177,1389446.232222222,1178.747739010439,1049.6333333333334,376.5,66,1.713174017788819,0.8344731453390489,1.1230090561882933,45.57104076109819,6.750632619325257,7.816024033228556,5.275613069534302,0.0,1.1289657311916532,1.1578209738230116,0.8636913845998988,9.037876225193033e-11,9.506774545129926e-06,4.5347213745117185e-05,4.124641418457031e-05,3.600120544433594e-05,1.2940665231135429,0.9830892966288934,0.20964407203857324,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:03:51,25.313446760177612,29777,1176.3313104734643,4831,190.8471827550561,1390677.774104683,1179.2700174704194,1048.7272727272727,379.0,66,1.7037504459679154,0.8333352482201332,1.1244773051468977,36.74112728733767,6.061445973308487,10.965810219446817,9.022298097610474,0.0,0.9619051941044655,1.8091079699026678,0.5527586062504612,2.376909908566293e-10,1.541723032378479e-05,5.301562222567472e-05,5.125999450683594e-05,3.600120544433594e-05,0.3416231739361711,1.1035974960489465,0.290805420676897,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:04:16,21.613053798675537,16242,751.4902869022295,2642,122.24093941606269,1390160.5432098766,1179.0506957760028,1049.111111111111,379.0,66,1.7050440159489617,0.833815810154005,1.1238568377445484,36.3800620306199,6.031588682148335,8.9459900326199,8.44473111629486,0.0,0.2493168596568658,1.4831896709232353,0.6742226025465333,7.534910966771552e-11,8.68038649299186e-06,4.80810801188151e-05,4.696846008300781e-05,3.838539123535156e-05,0.38452897346410797,1.1169651133957443,0.18053642870628958,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:04:38,22.415027141571045,24363,1086.9047735755908,3966,176.934873866141,1389999.5061728398,1178.9824028257758,1049.2222222222222,374.0,66,1.7181483470928527,0.8339583524449923,1.1236727338167938,49.0740751357693,7.0052890829550565,10.766724321577284,10.167130708694458,0.0,0.25677467658332437,1.5369421866935338,0.6506425607012113,3.224916630036508e-11,5.678834942165962e-06,4.212061564127604e-05,4.076957702636719e-05,4.076957702636719e-05,0.7137231291284297,0.23790770970947658,0.13482317045245168,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:05:00,22.614221572875977,21656,957.627479248488,3471,153.48748524526698,1393072.2899305555,1180.2848342372936,1046.9583333333333,364.0,66,1.7359157218384442,0.8311200016115041,1.1273465205434412,31.651429618048226,5.625960328517099,9.104513506094614,5.929872989654541,0.0,1.6928525963905174,1.6183038938161867,0.6179309113826948,3.311129148642067e-11,5.754241173814378e-06,4.315376281738281e-05,4.374980926513672e-05,3.409385681152344e-05,-0.3107515464243906,1.574474501883579,0.13334274459831127,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:05:23,23.95538330078125,10828,452.00696077557103,1766,73.7203816706371,1389620.4166666667,1178.8216220729355,1049.5,374.0,66,1.7190896078377305,0.8343077371371369,1.1232221267965083,53.306077142834454,7.301101091125533,10.973703583081564,11.584736704826355,0.0,-0.2510716318477634,1.50302035900038,0.6653269824402607,5.503508759829856e-11,7.418563715322432e-06,4.392862319946289e-05,4.088878631591797e-05,3.7670135498046875e-05,1.2292825135139256,0.843625254372302,0.16887767416787916,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:05:47,24.048824071884155,24363,1013.0640869248635,3983,165.62140369501833,1389152.4224965705,1178.6231045149975,1049.851851851852,379.0,66,1.7075480260364664,0.8347467889293637,1.1226565942956654,50.091504066443775,7.07753516885955,6.876797923335323,3.9931323528289795,0.0,1.222317728576264,0.9716374075529217,1.0291905110142987,7.14711253143226e-11,8.454059694272487e-06,4.076957702636719e-05,3.790855407714844e-05,3.123283386230469e-05,1.015260023946976,1.1280666932744179,0.20736196720424485,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:06:11,24.524439096450806,21656,883.0375249289217,3512,143.2040906700394,1390760.1388888888,1179.304938889382,1048.6666666666667,376.5,66,1.7099054989959188,0.8332591802694386,1.124575593346518,37.34135172087726,6.110757049734285,11.826949228843054,13.202492952346802,0.0,-0.6753060442307526,1.9354310984033194,0.5166807543936719,9.36628552494767e-11,9.677957183697225e-06,4.3004751205444336e-05,3.993511199951172e-05,3.2901763916015625e-05,0.9515352716491159,1.0439173368577679,0.22504390590386697,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:06:36,22.866812467575073,27070,1183.8116938416758,4409,192.81218168259878,1389899.8766666667,1178.9401497390215,1049.3,376.5,66,1.712046197126128,0.834054214047821,1.1235491753921867,49.41391935912635,7.02950349307306,12.94543849627177,17.536035895347595,0.0,-1.959141525542783,1.8415864661036627,0.5430100722426302,9.481539109401636e-11,9.737319502512812e-06,4.189014434814453e-05,3.910064697265625e-05,2.765655517578125e-05,0.8594246213555243,1.461756407262816,0.2324489364750569,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:06:59,21.521923065185547,16242,754.6723380994473,2637,122.526225561399,1390534.138888889,1179.2091158437036,1048.8333333333333,376.5,66,1.7104684596649098,0.8334682289409993,1.124305529169271,46.005858280491076,6.782761847543453,9.926992734273275,11.824378490447998,0.0,-0.8392093658110266,1.4635620352598084,0.6832645121342479,1.9409501166794344e-10,1.393179857979376e-05,5.046526590983073e-05,4.4345855712890625e-05,3.838539123535156e-05,1.3177215049208724,0.8670721590821326,0.27606707957680293,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:07:20,25.119439840316772,13535,538.825709730847,2221,88.41757675007102,1388408.1066666665,1178.3073057002857,1050.4,379.0,66,1.7094012659141844,0.8354357095451906,1.1217700930124577,50.320132690252244,7.093668493117806,10.417726405461629,10.32244873046875,0.0,0.040294105265272565,1.468595045788901,0.6809229016994397,1.9520939531503244e-10,1.3971735587071222e-05,5.216598510742188e-05,5.793571472167969e-05,3.528594970703125e-05,-1.2388717732956904,1.2081559442057155,0.2678322964341644,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:07:45,20.624361991882324,13535,656.2627248943423,2213,107.30028889480455,1389137.4488888888,1178.6167523367758,1049.8666666666666,380.0,66,1.7050495812278936,0.8347638574761563,1.1226347018701828,44.26282949684284,6.653031601972355,10.670118204752605,8.986958742141724,0.0,0.758974057230643,1.6037979139599075,0.6235199530412897,3.000195647473447e-10,1.7321072852088137e-05,5.9604644775390625e-05,5.888938903808594e-05,4.00543212890625e-05,0.12388188827780261,1.1287016487533128,0.29059938059121876,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:08:06,20.397502660751343,32484,1592.5478986457183,5286,259.1493717596745,1390081.138888889,1179.017022306671,1049.1666666666667,379.0,66,1.7052340737766334,0.8338867446910685,1.123765231745834,36.449686031809954,6.037357537185449,10.4034752647082,11.03742527961731,0.0,-0.3150136517530067,1.7231835617868987,0.5803212276253522,5.861819671635103e-11,7.656252132496097e-06,4.490216573079427e-05,4.5418739318847656e-05,3.457069396972656e-05,-0.202412451593977,1.3494163439598528,0.17050964041240838,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:08:26,20.295023918151855,18949,933.6771455121088,3097,152.59898251364194,1389210.916099773,1178.6479186337933,1049.8095238095239,379.0,66,1.7074043398483567,0.834693302602093,1.1227254962945505,42.43454255839987,6.514180114058857,7.330183574131557,4.099889755249023,0.0,1.4876594271215822,1.1252657196738554,0.8886789871194493,3.3693298491368986e-10,1.8355734387751687e-05,4.8739569527762274e-05,4.029273986816406e-05,3.266334533691406e-05,1.380521663884159,0.8758148190232838,0.37660846342305465,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:08:46,21.416864156723022,29777,1390.3529378577407,4858,226.83059314614988,1389563.8236914603,1178.797617783248,1049.5454545454545,374.0,66,1.7192402945702359,0.8343632865453453,1.1231506102742077,33.44780781946245,5.783407976224956,11.270656657941414,9.890949249267578,0.0,0.7156891305329052,1.9487915610093596,0.5131385110689102,1.108324524902254e-10,1.0527699297103113e-05,4.295869307084517e-05,3.814697265625e-05,3.266334533691406e-05,1.371160102165685,0.9779295022953458,0.24506563269374598,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:09:08,21.54843521118164,29777,1381.8636809668897,4861,225.58482564328344,1389446.5344352615,1178.7478672028474,1049.6363636363637,380.0,66,1.7042737864512154,0.834475625368909,1.1230059361884046,42.2769081818519,6.502069530684204,9.716626853653878,7.139984846115112,0.0,1.1888408738383467,1.4943898719937883,0.6691694173929443,2.9459923940175787e-11,5.427699691414014e-06,3.9599158547141336e-05,4.172325134277344e-05,3.123283386230469e-05,-1.174029284814063,1.5414125984293485,0.13706603601065254,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:09:29,22.73591923713684,32484,1428.7524362305373,5282,232.31961483098442,1390226.6080246912,1179.0787115475757,1049.0555555555557,374.0,66,1.7175839465446507,0.8337488803145857,1.1239430603111984,32.27688745288035,5.6812751608138425,10.869818203979069,8.714117050170898,0.0,1.13831900028903,1.9132708584426261,0.5226651498857747,1.3633380844011195e-10,1.1676206937191202e-05,5.008776982625326e-05,5.078315734863281e-05,5.698204040527344e-05,-0.17866783094549257,-0.5904546413151057,0.23311492960645205,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:09:52,22.116788148880005,24363,1101.5613947196823,3951,178.64257564903605,1390757.7777777778,1179.3039378284877,1048.6666666666667,374.0,66,1.7162666341358057,0.8332598875876738,1.1245746387429951,33.137312556301566,5.756501763771254,7.935637253302115,6.022131443023682,0.0,0.9972232557911209,1.37855204062393,0.725398802897134,2.736624644316135e-11,5.231275794981694e-06,3.912713792588976e-05,3.9577484130859375e-05,2.9802322387695312e-05,-0.25826178313995385,1.7825126993189004,0.13369942378331354,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:10:14,24.990171909332275,29777,1191.548425838565,4853,194.1963431707209,1389772.2993572084,1178.8860417178619,1049.3939393939395,379.0,66,1.7060018924739688,0.8341721800021883,1.1233970365778065,52.48265332330436,7.24449123978381,10.362413984356504,8.428438901901245,0.0,0.8008740787074121,1.43038532884826,0.6991123159835508,1.6502537077902777e-10,1.2846220096940102e-05,4.304539073597301e-05,3.814697265625e-05,3.409385681152344e-05,1.1439360472011024,0.6968224004337101,0.2984342778007245,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:10:39,20.399675846099854,13535,663.4909349595234,2221,108.87427902069462,1388408.1066666665,1178.3073057002857,1050.4,379.0,66,1.7094012659141844,0.8354357095451906,1.1217700930124577,43.301275292119286,6.580370452498801,9.690163691838583,7.788692235946655,0.0,0.866883469381213,1.472586347803395,0.679077326427523,3.5165612644050276e-11,5.930060087726791e-06,4.1866302490234374e-05,3.8623809814453125e-05,3.743171691894531e-05,1.6403675314313122,0.7478146099172159,0.14164279468219151,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:11:00,22.033804655075073,29777,1351.4234362217342,4833,219.34477842830512,1390596.6519742883,1179.2356219069572,1048.7878787878788,379.0,66,1.7039543234915753,0.8334109490337476,1.1243795297003638,40.367856777485066,6.353570396043871,4.691342332146385,1.3471858501434326,0.0,1.5790286123619088,0.7383789018954613,1.3543182198637342,2.8353121503514102e-11,5.324764924718659e-06,3.923069347034801e-05,3.790855407714844e-05,3.361701965332031e-05,0.7449001478329643,1.0542575862772574,0.13572956411650766,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:11:22,25.147393465042114,37898,1507.0349160712324,6155,244.75697684359162,1390471.3429705214,1179.1824892570792,1048.8809523809523,379.0,66,1.7042678936056734,0.8335274322129709,1.124229100147489,40.4422484478279,6.359422021522703,10.9095086256663,11.265139937400818,0.0,-0.16776586482117073,1.7154874434727516,0.5829246980529612,2.409696931789192e-11,4.908866398456157e-06,4.226820809500558e-05,4.2319297790527344e-05,3.337860107421875e-05,-0.03122290853413718,1.8109286949798875,0.11613613681996114,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:11:47,20.931763172149658,21656,1034.5998959520982,3543,169.26428848163485,1389009.7899305555,1178.562594829208,1049.9583333333333,379.0,66,1.7079067406612347,0.8348799950467833,1.122485109563911,37.167855278828824,6.096544535950576,7.527942876021068,6.281205534934998,0.0,0.6134970393806914,1.2347884660941475,0.809855313245009,5.780620426776295e-11,7.6030391467993215e-06,4.738569259643555e-05,4.565715789794922e-05,3.838539123535156e-05,0.6820435874833009,1.1837768012641199,0.1604501006569911,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:12:08,20.681394815444946,18949,916.2341403515402,3087,149.26459397673779,1389859.0793650795,1178.9228470790952,1049.3333333333333,379.0,66,1.7057944079907035,0.8340947295827242,1.1234969953104466,41.701215145345195,6.457647802826134,8.657435576121012,8.273864030838013,0.0,0.17819408412849597,1.340648459077028,0.7459076935712529,2.805976766133111e-11,5.297147124757921e-06,4.1791370936802453e-05,4.100799560546875e-05,3.2901763916015625e-05,0.44365881079969266,1.6781876756336238,0.126752174097575,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:12:29,20.683309078216553,10828,523.513909648236,1771,85.62459678491189,1389059.4097222222,1178.5836456196998,1049.9166666666667,376.5,66,1.7141337464747797,0.8348297300098059,1.122549706122422,39.67117986487177,6.298506161374439,7.690455873807271,7.366407036781311,0.0,0.15434556800778637,1.2209968009508283,0.8190029648081542,2.773781204723491e-10,1.6654672631797632e-05,5.620718002319336e-05,5.161762237548828e-05,3.838539123535156e-05,0.8267153157263293,1.0700774000094047,0.2963086321876536,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:12:49,23.51327872276306,24363,1036.1379324106906,3985,169.47870379906422,1389053.1056241426,1178.5809711785366,1049.9259259259259,380.0,66,1.7052521862524859,0.8348394806867083,1.1225372591301146,45.500977154914644,6.745441212768417,8.072813140021431,5.524345874786377,0.0,1.1334176007987755,1.1967805937942855,0.8355750462410071,4.749723796712602e-10,2.179386105469291e-05,6.471739874945747e-05,5.984306335449219e-05,3.600120544433594e-05,0.670969047118296,1.3176276215149139,0.33675428054616624,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:13:13,20.895540237426758,18949,906.8442253557896,3081,147.4477311900991,1390243.1882086168,1179.0857425177428,1049.047619047619,379.0,66,1.7048317901381194,0.8337371775427318,1.1239582656773763,24.10447406399723,4.909630746196421,8.280830428713845,7.955147743225098,0.0,0.19900642369554533,1.6866503524993508,0.5928911101925524,3.58953925848366e-07,0.000599127637359825,0.00030432428632463725,5.53131103515625e-05,3.528594970703125e-05,1.246868749388988,0.4490501186077426,1.9687145071317345,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:13:34,25.91308355331421,35191,1358.039846072243,5709,220.31341767004164,1390687.9460881,1179.274330293041,1048.7179487179487,374.0,66,1.716440182031995,0.8333242939950627,1.1244914151938532,58.35765099593889,7.639217957090823,9.19161187685453,7.17507266998291,0.0,0.7919158288970568,1.2032137227244255,0.831107542337291,6.166535526784082e-11,7.85272916047923e-06,4.4180796696589546e-05,4.220008850097656e-05,4.00543212890625e-05,0.7566954705052277,0.5254829656286298,0.17774077761448348,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:14:00,23.16762113571167,16242,701.0646412446641,2650,114.38377658529491,1389553.4691358027,1178.793225776176,1049.5555555555557,379.0,66,1.7065475290139078,0.8343749641994539,1.123135616344017,49.0222873917807,7.001591775573659,7.458706299463908,4.7697755098342896,0.0,1.1521369179264842,1.065287228753464,0.9387139665328954,4.72874085567633e-11,6.876584076179342e-06,4.092852274576823e-05,3.6835670471191406e-05,3.504753112792969e-05,1.7855604887117846,0.855219910450952,0.1680144704682834,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:14:23,23.51996421813965,18949,805.6559875795084,3080,130.952580175465,1390306.9523809524,1179.1127818749792,1049.0,379.0,66,1.7046715385476328,0.8336776728320014,1.1240350637511718,34.82367765339873,5.901159009330178,9.597785552342733,8.355884075164795,0.0,0.6313513033021471,1.6264238155873971,0.6148458909763573,1.864417735843596e-10,1.3654368296789113e-05,5.2281788417271203e-05,5.0067901611328125e-05,7.033348083496094e-05,0.4864128660855773,-1.3220452257710575,0.26116873026245624,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:14:46,24.742180824279785,18949,765.8581163308422,3082,124.56460575923033,1390179.4195011337,1179.058700617206,1049.095238095238,379.0,66,1.7049920527564768,0.8337966867812551,1.1238814721511199,55.01439122701388,7.417168679962313,10.081389097940354,9.377859115600586,0.0,0.2845546647363059,1.3591964175191953,0.7357288373561193,2.5667703790086492e-11,5.066330406723045e-06,4.073551722935268e-05,4.100799560546875e-05,3.2901763916015625e-05,-0.16134658869928242,1.5462381417014623,0.12437132878903065,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:15:11,24.946011543273926,16242,651.0860452311165,2658,106.55009901639623,1388956.0,1178.5397744666914,1050.0,379.5,66,1.706773113287786,0.8349315155233316,1.1224188328254203,45.94688159459834,6.778412911190815,10.712627079751757,7.544165849685669,0.0,1.4023022519777983,1.5804034395818163,0.6327498251108626,2.3806339615677848e-11,4.879174071057298e-06,4.009405771891276e-05,3.9458274841308594e-05,3.4809112548828125e-05,0.39091629137125217,1.0831638906745145,0.12169319716312335,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:15:36,21.38711929321289,16242,759.429064631174,2612,122.12958483047817,1392416.4691358025,1180.006978426739,1047.4444444444443,364.0,66,1.7375603456743698,0.8317276612660114,1.1265580572653708,46.64290468217994,6.8295610900101,12.260863714747959,12.179810523986816,0.0,0.035603982317269016,1.795263788280987,0.5570212057569137,1.1749060983371842e-10,1.0839308549613228e-05,4.494190216064453e-05,4.112720489501953e-05,3.4809112548828125e-05,1.0557953714938166,0.93481881851015,0.24118490825929423,False
172.18.0.2,172.18.0.5,443,56376,2025-08-14 12:15:57,0.024514198303222656,5504,224522.94510795566,626,25536.221591130132,1265318.1875,1124.8636306237304,766.25,78.0,66,1.8355558343148743,0.622519904578758,1.4680112634567444,8.967881130583777e-05,0.009469889719835062,0.014846175909042358,0.016413211822509766,0.0,-0.4964268729080935,1.5677242658852142,0.6378672715353748,2.0315585263435625e-09,4.507281360580414e-05,6.78698221842448e-05,3.6716461181640625e-05,3.528594970703125e-05,2.0735355867772456,0.7229163185192778,0.6641068468316582,False
